prob.cluster1	prob.cluster2	prob.cluster3	prob.cluster4	prob.cluster5	prob.cluster6	prob.cluster7	prob.cluster8	prob.cluster9	prob.cluster10	prob.cluster11	prob.cluster12	prob.cluster13	prob.cluster14	most.likely.cluster
0	0.003	0.241	0.747	0.008	0.001	0	0	0	0	0	0	0	0	4
0.027	0.948	0.023	0.002	0	0	0	0	0	0	0	0	0	0	2
0	0.01	0.244	0.726	0.013	0.001	0.006	0	0	0	0	0	0	0	4
0	0	0.005	0.158	0.075	0.01	0.752	0	0	0	0	0	0	0	7
0	0	0.015	0.56	0.115	0.022	0.288	0	0	0	0	0	0	0	4
0	0	0	0.001	0.009	0.006	0.984	0	0	0	0	0	0	0	7
0.123	0.865	0.012	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.001	0.007	0.005	0.987	0	0	0	0	0	0	0	7
0	0.002	0.191	0.792	0.01	0.001	0.004	0	0	0	0	0	0	0	4
0.071	0.916	0.013	0	0	0	0	0	0	0	0	0	0	0	2
0	0.042	0.348	0.603	0.003	0.001	0.003	0	0	0	0	0	0	0	4
0	0.086	0.475	0.436	0.002	0.001	0	0	0	0	0	0	0	0	3
0	0.001	0.122	0.832	0.028	0.004	0.013	0	0	0	0	0	0	0	4
0	0	0.001	0.021	0.043	0.014	0.921	0	0	0	0	0	0	0	7
0	0.595	0.337	0.068	0	0	0	0	0	0	0	0	0	0	2
0	0	0.115	0.857	0.022	0.001	0.005	0	0	0	0	0	0	0	4
0	0	0.013	0.682	0.113	0.015	0.177	0	0	0	0	0	0	0	4
0	0.099	0.536	0.364	0.001	0	0	0	0	0	0	0	0	0	3
0	0	0.031	0.796	0.071	0.011	0.091	0	0	0	0	0	0	0	4
0	0	0.023	0.582	0.091	0.014	0.29	0	0	0	0	0	0	0	4
0	0.169	0.609	0.222	0	0	0	0	0	0	0	0	0	0	3
0	0.943	0.057	0	0	0	0	0	0	0	0	0	0	0	2
0	0.004	0.247	0.736	0.012	0	0.001	0	0	0	0	0	0	0	4
0	0	0	0.007	0.036	0.016	0.941	0	0	0	0	0	0	0	7
0	0	0.002	0.101	0.074	0.025	0.798	0	0	0	0	0	0	0	7
0	0.001	0.082	0.878	0.026	0.003	0.01	0	0	0	0	0	0	0	4
0	0.238	0.333	0.422	0.005	0	0.002	0	0	0	0	0	0	0	4
0	0	0.001	0.344	0.133	0.029	0.493	0	0	0	0	0	0	0	7
0	0	0.075	0.852	0.041	0.003	0.029	0	0	0	0	0	0	0	4
0	0	0	0.001	0.022	0.013	0.964	0	0	0	0	0	0	0	7
0	0	0	0.027	0.057	0.02	0.896	0	0	0	0	0	0	0	7
0	0	0	0.002	0.009	0.012	0.977	0	0	0	0	0	0	0	7
0	0	0	0	0.004	0.004	0.99	0.002	0	0	0	0	0	0	7
0	0	0.021	0.422	0.063	0.02	0.474	0	0	0	0	0	0	0	7
0	0	0.031	0.777	0.076	0.014	0.102	0	0	0	0	0	0	0	4
0	0.05	0.296	0.63	0.015	0	0.009	0	0	0	0	0	0	0	4
0	0	0.016	0.419	0.094	0.018	0.453	0	0	0	0	0	0	0	7
0	0	0.002	0.197	0.119	0.034	0.648	0	0	0	0	0	0	0	7
0	0	0	0.054	0.049	0.022	0.875	0	0	0	0	0	0	0	7
0	0	0.07	0.868	0.038	0.005	0.019	0	0	0	0	0	0	0	4
0	0	0.003	0.067	0.063	0.02	0.847	0	0	0	0	0	0	0	7
0	0.002	0.13	0.8	0.037	0.002	0.029	0	0	0	0	0	0	0	4
0.003	0.86	0.118	0.019	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.048	0.052	0.013	0.887	0	0	0	0	0	0	0	7
0	0	0.048	0.855	0.056	0.008	0.033	0	0	0	0	0	0	0	4
0	0.003	0.139	0.809	0.029	0.003	0.017	0	0	0	0	0	0	0	4
0	0.005	0.234	0.748	0.01	0	0.003	0	0	0	0	0	0	0	4
0	0	0	0.014	0.029	0.015	0.942	0	0	0	0	0	0	0	7
0	0.281	0.31	0.386	0.01	0	0.013	0	0	0	0	0	0	0	4
0	0	0	0	0.005	0.004	0.985	0.004	0.001	0.001	0	0	0	0	7
0	0	0	0.016	0.042	0.025	0.917	0	0	0	0	0	0	0	7
0	0.21	0.517	0.273	0	0	0	0	0	0	0	0	0	0	3
0	0.866	0.129	0.005	0	0	0	0	0	0	0	0	0	0	2
0	0.092	0.518	0.389	0.001	0	0	0	0	0	0	0	0	0	3
0	0	0	0.006	0.034	0.014	0.946	0	0	0	0	0	0	0	7
0	0.009	0.158	0.687	0.049	0.001	0.096	0	0	0	0	0	0	0	4
0	0	0.025	0.786	0.092	0.008	0.089	0	0	0	0	0	0	0	4
0	0	0.048	0.716	0.069	0.012	0.155	0	0	0	0	0	0	0	4
0	0	0	0.003	0.019	0.005	0.973	0	0	0	0	0	0	0	7
0	0	0	0	0.012	0.005	0.983	0	0	0	0	0	0	0	7
0	0	0.002	0.145	0.079	0.028	0.746	0	0	0	0	0	0	0	7
0	0.008	0.292	0.69	0.009	0	0.001	0	0	0	0	0	0	0	4
0	0	0	0	0.003	0.002	0.994	0.001	0	0	0	0	0	0	7
0	0.001	0.12	0.783	0.039	0.008	0.049	0	0	0	0	0	0	0	4
0	0	0	0	0.001	0	0.992	0.007	0	0	0	0	0	0	7
0	0.031	0.418	0.547	0.004	0	0	0	0	0	0	0	0	0	4
0	0.038	0.301	0.634	0.015	0	0.012	0	0	0	0	0	0	0	4
0	0.136	0.456	0.404	0.003	0.001	0	0	0	0	0	0	0	0	3
0	0	0	0.042	0.085	0.032	0.841	0	0	0	0	0	0	0	7
0.003	0.522	0.265	0.205	0.002	0	0.003	0	0	0	0	0	0	0	2
0	0	0	0.01	0.045	0.012	0.933	0	0	0	0	0	0	0	7
0	0.11	0.626	0.264	0	0	0	0	0	0	0	0	0	0	3
0	0.749	0.206	0.045	0	0	0	0	0	0	0	0	0	0	2
0.003	0.953	0.044	0	0	0	0	0	0	0	0	0	0	0	2
0	0	0.063	0.769	0.071	0.006	0.091	0	0	0	0	0	0	0	4
0	0	0.052	0.793	0.058	0.01	0.087	0	0	0	0	0	0	0	4
0	0.053	0.359	0.578	0.007	0	0.003	0	0	0	0	0	0	0	4
0	0	0	0	0.003	0.003	0.993	0.001	0	0	0	0	0	0	7
0	0	0.099	0.813	0.046	0.003	0.039	0	0	0	0	0	0	0	4
0	0	0	0.074	0.072	0.027	0.827	0	0	0	0	0	0	0	7
0	0	0.123	0.841	0.028	0	0.008	0	0	0	0	0	0	0	4
0	0	0.064	0.77	0.052	0.009	0.105	0	0	0	0	0	0	0	4
0	0.262	0.406	0.331	0.001	0	0	0	0	0	0	0	0	0	3
0	0.009	0.289	0.693	0.009	0	0	0	0	0	0	0	0	0	4
0	0	0	0.012	0.032	0.019	0.937	0	0	0	0	0	0	0	7
0	0.41	0.423	0.164	0.003	0	0	0	0	0	0	0	0	0	3
0	0	0.024	0.676	0.104	0.013	0.183	0	0	0	0	0	0	0	4
0	0	0.015	0.363	0.088	0.022	0.512	0	0	0	0	0	0	0	7
0	0	0.054	0.788	0.078	0.003	0.077	0	0	0	0	0	0	0	4
0	0	0	0.009	0.031	0.011	0.948	0.001	0	0	0	0	0	0	7
0	0	0.007	0.345	0.113	0.019	0.516	0	0	0	0	0	0	0	7
0	0	0.001	0.146	0.103	0.022	0.728	0	0	0	0	0	0	0	7
0	0	0	0.007	0.038	0.014	0.941	0	0	0	0	0	0	0	7
0	0	0	0.02	0.039	0.021	0.92	0	0	0	0	0	0	0	7
0	0	0	0.053	0.058	0.029	0.86	0	0	0	0	0	0	0	7
0	0.558	0.28	0.162	0	0	0	0	0	0	0	0	0	0	2
0	0	0	0.001	0.013	0.006	0.98	0	0	0	0	0	0	0	7
0	0	0.028	0.452	0.072	0.013	0.435	0	0	0	0	0	0	0	4
0	0	0.106	0.831	0.035	0.001	0.027	0	0	0	0	0	0	0	4
0	0	0.001	0.034	0.049	0.017	0.899	0	0	0	0	0	0	0	7
0.014	0.911	0.068	0.007	0	0	0	0	0	0	0	0	0	0	2
0	0.029	0.336	0.624	0.007	0	0.004	0	0	0	0	0	0	0	4
0	0.003	0.162	0.769	0.022	0.003	0.041	0	0	0	0	0	0	0	4
0	0.002	0.218	0.759	0.013	0.002	0.006	0	0	0	0	0	0	0	4
0	0.002	0.204	0.783	0.009	0.001	0.001	0	0	0	0	0	0	0	4
0	0	0	0	0.005	0.003	0.991	0	0.001	0	0	0	0	0	7
0	0	0.002	0.112	0.083	0.019	0.784	0	0	0	0	0	0	0	7
0	0.094	0.211	0.528	0.031	0.007	0.129	0	0	0	0	0	0	0	4
0	0	0	0	0.004	0.004	0.992	0	0	0	0	0	0	0	7
0	0.586	0.331	0.083	0	0	0	0	0	0	0	0	0	0	2
